Āśval.	Āśvalāyana
Āpast.	Āpastamba
Śaṅkh.	Śaṅkhāyana
śai.	Śaivism
Śvet.	Śvetāmbara
Śl.	śloka
śrīvaiṣ.	śrīvaiṣṇava
śr.	śrauta
Ṛv.	Ṛgveda
Av.	Atharvaveda
Baudh.	Baudhāyana
Bhārad.	Bhāradvāja
Br.	Brāhmaṇas
Chin.	Chinese
Dng.	Devanāgarī
Drāhyā.	Drāhyāyaṇīya
Eng.	English
Fr.	French
Ger.	German
Gr.	Grantha
Guj.	Gujarati
Hiraṇ.	Hiraṇyakeśiya
Hiraṇyak.	Hiraṇyakeśiya
Ind.	India/Indian
jy.	Jyotiṣa
Kṛ. 	Kṛṣṇa Yajurveda
Kumbh.	Kumbhakonam
Mādh.	Mādhyandina
mīm.	Mīmāṃsā (Pūrva)
M.E.	Malayalam era
Mal.	Malayalam
Pkt.	Prākṛt
Sv.	Sāmaveda
Skt.	Sanskrit
SI.	South India
Taitt.	Taittirīya
Vāj.	Vājasaneya
Yv.	Yajurveda
acc.	according
add.	additional
Adhy.	adhyāya
adv.	advaita
alaṃk.	alaṃkāra
alph.	alphabetical
alt.	alternate
an.	anonymous
app.	appendix
a.	author
Beg.	beginning
Bodh.	bodhāyana
Bk.	book
Bud.	buddhistic
Cat.	catalogue
Cent.	century
Ch.	chapter
C.	circa
Col.	colophon
Ccc.	commentary on commentary on commentary
Cc.	commentary on commentary
D.	dated
dh.	dharmaśāstra
Dict.	dictionary
diff.	different
Dig.	digambara
dvai.	dvaita
Ed.	edited
Edn.	edition
Epi.	epigraphical
esp.	especially
Extr.	extract(s)
fol.	folio
fn.	footnote
fr.	fragment
gṛh.	gṛhya
gr.	grammar
gucch.	gucchaka (Kāvyamālā)
His.	history
inc.	incomplete
ins.	inscription
Intro.	introduction
J.	journal
Kāty.	kātyāyana
lex.	lexicon
ll.	lines
Lit.	literature
mā.	māhātmya
med.	medicine
mid.	middle
Misc.	miscellaneous
N. S.	new series
N.R.	northern recension
ny.	nyāya
p.	page
pp.	pages
Pt.	part
paur.	paurāṇika
phil.	philosophical
Pref.	preface
pub.	publication/published
Q.	quoted
ref.	refers to
rel.	religion
Rep.	report
sū.	sūtra
Saṃ.	saṃvat
Ser.	series
Sup.	supplement
transl.	translation
Uni.	university
Up.	upaniṣad
Vs.	vājasaneya
vaiś.	vaiśeṣika
Vaid.	vaidic
Vaikh.	vaikhānasa
Ved.	vedic
v.	verse
Vol.	volume
vyā.	vyākhyā
